#  N    Kx    Ky    lambda
4 0 2 1.2408552470522e-10
4 0 2 1.2317957534662e-10
4 0 2 1.1911485592613e-10
4 0 2 1.1223585308508e-10
4 0 2 1.1017102314873e-10
4 0 2 1.0891040385223e-10
4 0 2 1.0688281906112e-10
4 0 2 1.0412649604525e-10
4 0 2 1.0119147373258e-10
4 0 2 9.7287158994303e-11
4 0 2 8.9326348389564e-11
4 0 2 8.5550342820867e-11
4 0 2 8.2511214117668e-11
4 0 2 7.5180770571883e-11
4 0 2 7.4290514164807e-11
4 0 2 7.3980063270358e-11
4 0 2 6.930632556364e-11
4 0 2 6.512257619924e-11
4 0 2 6.4520523206124e-11
4 0 2 6.1161552256913e-11
4 0 2 6.0898937189157e-11
4 0 2 5.9626235295892e-11
4 0 2 5.8796437643317e-11
4 0 2 5.4900147584616e-11
4 0 2 5.3097361778232e-11
4 0 2 5.2091470461242e-11
4 0 2 4.9954186749341e-11
4 0 2 4.9773053131201e-11
4 0 2 4.8630810335166e-11
4 0 2 4.5001657645136e-11
4 0 2 3.7726620450276e-11
4 0 2 3.6933655726578e-11
4 0 2 3.5942706460742e-11
4 0 2 3.5070662546299e-11
4 0 2 3.2978844953677e-11
4 0 2 3.1646216815706e-11
4 0 2 2.9852220483689e-11
4 0 2 2.9144947245735e-11
4 0 2 2.7562205710357e-11
4 0 2 2.7386303152588e-11
4 0 2 2.3274341886895e-11
4 0 2 2.3212791789656e-11
4 0 2 2.236041087739e-11
4 0 2 2.1206824101548e-11
4 0 2 2.0392613362422e-11
4 0 2 2.0073201745268e-11
4 0 2 1.8727577906242e-11
4 0 2 1.8266894585968e-11
4 0 2 1.7245109517446e-11
4 0 2 1.7100314293791e-11
4 0 2 1.6253012426471e-11
4 0 2 1.3430568350073e-11
4 0 2 1.3391943039988e-11
4 0 2 1.2984585440264e-11
4 0 2 1.2043069571146e-11
4 0 2 1.0661791229846e-11
4 0 2 9.9740138562056e-12
4 0 2 9.6927142540051e-12
4 0 2 8.5277237446787e-12
4 0 2 8.2923501620644e-12
4 0 2 7.837108103189e-12
4 0 2 7.7285997376302e-12
4 0 2 7.3131210931457e-12
4 0 2 6.410093646047e-12
4 0 2 5.7307413858933e-12
4 0 2 5.6754877555766e-12
4 0 2 5.1775274538864e-12
4 0 2 5.0277839207513e-12
4 0 2 3.9469387463118e-12
4 0 2 3.7864214018448e-12
4 0 2 3.4960296836236e-12
4 0 2 3.2881101843986e-12
